"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C5,C6","0.1uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","5",""
"CP1,CP2","100uF","https://www.we-online.com/catalog/datasheet/875105242010.pdf?ki","WurthE:CP_Wurth_WCAP-PSLP-D5L5.5","2",""
"CP3,CP4","1mF","https://www.we-online.com/catalog/datasheet/865080462016.pdf?ki","WurthE:CP_Wurth_WCAP-ASLI-D12.5L14","2",""
"D1,D2","1N5822","http://www.vishay.com/docs/88526/1n5820.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","2",""
"D3","BTRY PWR","","WL-SMSW_3014:WL-SMSW_3014","1",""
"D4","5V PWR","","WL-SMSW_3014:WL-SMSW_3014","1",""
"D5","3V3 PWR","","WL-SMSW_3014:WL-SMSW_3014","1",""
"J1","BTRY IN","","jst_xh:JST_B2B-XH-A","1",""
"J2","QUIIC","SM04B-SRSS-TB","quiic_jst:CONN_SM04B-SRSS-TB_JST","1",""
"J3","FRONT","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J4","LEFT","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J5","RIGHT","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J6","Servo","~","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1",""
"J7","ESC","~","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1",""
"J8","Breakout1","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"J9","Breakout2","~","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","1",""
"J11","Breakout3","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"L1,L2","100uH","https://www.we-online.com/catalog/datasheet/7447715101.pdf?ki","WE-PD:L_Wurth_WE-PD-1245","2",""
"R1","300","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R2,R3,R4","2k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3",""
"R5,R6,R7","1k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3",""
"R8,R9,R10,R11","10k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"R12","150","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R13","68","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"S1","EG2201B","","switch_eg2201_dpdt:SW_EG2201B","1",""
"U1","ESP32-DevKitC","https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html","PCM_Espressif:ESP32-DevKitC","1",""
"U2","LM2576HVS-5","http://www.ti.com/lit/ds/symlink/lm2576.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U3","LM2576HVS-3.3","http://www.ti.com/lit/ds/symlink/lm2576.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
